ID,Author,Content Length,Content
558765529570213888,Karaoke Bot for /r/teenagers,0,
558765530841088002,Brostekake,26,!play EXTREME USSR EARRAPE
558765532455895040,Brostekake,26,!play EXTREME USSR EARRAPE
558765533646946322,Brostekake,26,!play EXTREME USSR EARRAPE
558765542383550484,Karaoke Bot for /r/teenagers,0,
558765547811242004,coolkid324,30,!!play All the Single Furries!
558765554668797982,Karaoke Bot for /r/teenagers,0,
558765560897208331,coolkid324,30,!!play All the Single Furries!
558765566668832848,Karaoke Bot for /r/teenagers,0,
558765576818917420,coolkid324,29,!play All the Single Furries!
558765577619898439,Hide ur kids_ im in town,41,!play post malone g wagon g wagon g wagon
558765579457134592,Karaoke Bot for /r/teenagers,0,
558765587187236885,Brostekake,5,!skip
558765587929628683,Karaoke Bot for /r/teenagers,0,
558765588680278048,Karaoke Bot for /r/teenagers,0,
558765593583681566,coolkid324,29,!play All the Single Furries!
558765594200244244,Karaoke Bot for /r/teenagers,0,
558765599199592468,coolkid324,29,!play All the Single Furries!
558765606179045390,Karaoke Bot for /r/teenagers,0,
558765607697514552,coolkid324,29,!play All the Single Furries!
558765614014005298,coolkid324,29,!play All the Single Furries!
558765613871529997,Brostekake,5,!skip
558765614580236298,Karaoke Bot for /r/teenagers,0,
558765615859367956,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `National Anthem of USSR` added by `coolkid324`
558765617860313098,Karaoke Bot for /r/teenagers,0,
558765621031075862,ZhaoZentral,7,!queueu
558765628371107850,C0racle,6,!queue
558765628610183178,Karaoke Bot for /r/teenagers,0,
558765628962504718,Hide ur kids_ im in town,5,!skip
558765629650239498,Karaoke Bot for /r/teenagers,0,
558765630489100296,Karaoke Bot for /r/teenagers,0,
558765633651867659,Brostekake,5,!skip
558765633853194252,Karaoke Bot for /r/teenagers,0,
558765637451776000,BirkIsak,5,!skip
558765637606965309,Karaoke Bot for /r/teenagers,0,
558765638609535007,ZhaoZentral,6,!queue
558765645643120646,coolkid324,29,!play All the Single Furries!
558765648097050686,Brostekake,5,!skip
558765654883172362,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `National Anthem of USSR` added by `coolkid324`
558765655328030740,Karaoke Bot for /r/teenagers,0,
558765655432626191,Karaoke Bot for /r/teenagers,0,
558765656456036352,Karaoke Bot for /r/teenagers,0,
558765657936625675,BirkIsak,5,!skip
558765658259718164,Karaoke Bot for /r/teenagers,0,
558765666082095124,Hide ur kids_ im in town,5,!skip
558765669823283219,BirkIsak,5,!skip
558765679537553409,Karaoke Bot for /r/teenagers,0,
558765680128950272,Hide ur kids_ im in town,5,!skip
558765680309305402,Karaoke Bot for /r/teenagers,0,
558765681143709716,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `National Anthem of USSR` added by `coolkid324`
558765681437442048,Karaoke Bot for /r/teenagers,0,
558765681881907230,Karaoke Bot for /r/teenagers,0,
558765681844420610,Brostekake,5,!skip
558765685019508750,BirkIsak,5,!skip
558765691776532492,coolkid324,29,!play All the Single Furries!
558765692942286854,BirkIsak,5,!skip
558765697291780096,coolkid324,29,!play All the Single Furries!
558765697648295938,ZhaoZentral,5,!skip
558765702765608963,coolkid324,29,!play All the Single Furries!
558765703499481130,Brostekake,5,!skip
558765703818379304,ZhaoZentral,5,!skip
558765706120790030,Hide ur kids_ im in town,5,!skip
558765707244994561,Karaoke Bot for /r/teenagers,0,
558765708033523732,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `National Anthem of USSR` added by `coolkid324`
558765708679446528,Karaoke Bot for /r/teenagers,0,
558765709010796577,Karaoke Bot for /r/teenagers,0,
558765709031768075,Karaoke Bot for /r/teenagers,0,
558765709442809867,BirkIsak,5,!skip
558765710592049163,coolkid324,29,!play All the Single Furries!
558765713511284770,ZhaoZentral,5,!skip
558765722164264961,ZhaoZentral,5,!skip
558765727037915149,BirkIsak,5,!skip
558765730212872204,ZhaoZentral,5,!skip
558765734415826955,Karaoke Bot for /r/teenagers,0,
558765735157956640,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `National Anthem of USSR` added by `coolkid324`
558765735707541545,Karaoke Bot for /r/teenagers,0,
558765736084897836,Karaoke Bot for /r/teenagers,0,
558765736181628969,Hide ur kids_ im in town,5,!skip
558765736592539649,Karaoke Bot for /r/teenagers,0,
558765736949055528,Brostekake,5,!skip
558765738090037249,coolkid324,29,!play All the Single Furries!
558765752161796096,C0racle,5,!skip
558765757975101463,Karaoke Bot for /r/teenagers,0,
558765758461509673,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `National Anthem of USSR` added by `coolkid324`
558765759166152705,Karaoke Bot for /r/teenagers,0,
558765759149506572,Karaoke Bot for /r/teenagers,0,
558765760026116096,Karaoke Bot for /r/teenagers,0,
558765774181761067,C0racle,5,!skip
558765783946362893,ZhaoZentral,5,!skip
558765786022412317,Karaoke Bot for /r/teenagers,0,
558765786882244608,Karaoke Bot for /r/teenagers,0,
558765787247149056,Karaoke Bot for /r/teenagers,0,
558765787721105419,Karaoke Bot for /r/teenagers,0,
558765788119695375,Karaoke Bot for /r/teenagers,77,Now playing in `Karaoke`: `EXTREME USSR Anthem Earrape` added by `Brostekake`
558765791902695458,C0racle,5,!skip
558765793479884832,ZhaoZentral,5,!skip
558765804972408873,BirkIsak,5,!skip
558765806692073487,ZhaoZentral,5,!skip
558765809594269764,Karaoke Bot for /r/teenagers,0,
558765809644732460,Hide ur kids_ im in town,5,!skip
558765810047385610,Karaoke Bot for /r/teenagers,0,
558765810110431274,Karaoke Bot for /r/teenagers,0,
558765810861211648,C0racle,5,1skip
558765810571673603,Karaoke Bot for /r/teenagers,0,
558765811246825473,Karaoke Bot for /r/teenagers,0,
558765817232359445,C0racle,5,!skip
558765824735969291,ZhaoZentral,5,!skip
558765831300055051,Brostekake,26,!play EXTREME USSR EARRAPE
558765832499625994,C0racle,5,!skip
558765832952348673,ZhaoZentral,5,!skip
558765833011331084,Brostekake,26,!play EXTREME USSR EARRAPE
558765834785390592,Brostekake,26,!play EXTREME USSR EARRAPE
558765836563775488,Brostekake,26,!play EXTREME USSR EARRAPE
558765837230538753,Karaoke Bot for /r/teenagers,0,
558765837713014799,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `National Anthem of USSR` added by `coolkid324`
558765838270857218,Karaoke Bot for /r/teenagers,0,
558765838103216130,Brostekake,26,!play EXTREME USSR EARRAPE
558765838677704709,Karaoke Bot for /r/teenagers,0,
558765839013380096,Dyno,56,<@358693297826299907> You're sending messages too quick!
558765839172632576,BirkIsak,5,!skip
558765839256649739,C0racle,5,!skip
558765839025963058,Karaoke Bot for /r/teenagers,0,
558765840355295232,Brostekake,26,!play EXTREME USSR EARRAPE
558765842410504203,Brostekake,26,!play EXTREME USSR EARRAPE
558765844004601870,ZhaoZentral,5,!skip
558765847527817227,C0racle,5,!skip
558765852749463554,coolkid324,29,!play All the Single Furries!
558765853877862411,C0racle,5,!skip
558765853919805471,BirkIsak,5,!skip
558765857027784711,ZhaoZentral,4,Skip
558765861226414080,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `All the Single Furries!` added by `coolkid324`
558765861733793812,Karaoke Bot for /r/teenagers,0,
558765862144835604,C0racle,5,!skip
558765861952028694,Karaoke Bot for /r/teenagers,0,
558765862673317901,Karaoke Bot for /r/teenagers,0,
558765863327498254,coolkid324,29,!play All the Single Furries!
558765863205863435,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `All the Single Furries!` added by `coolkid324`
558765864674000938,ZhaoZentral,5,!skip
558765869443055619,coolkid324,29,!play All the Single Furries!
558765869778599946,C0racle,5,!skip
558765873868046356,ZhaoZentral,5,!skip
558765875558350868,C0racle,5,!skip
558765877315633152,coolkid324,29,!play All the Single Furries!
558765884408070200,C0racle,5,!skip
558765884722905101,coolkid324,29,!play All the Single Furries!
558765884651601951,Karaoke Bot for /r/teenagers,0,
558765885553115147,Karaoke Bot for /r/teenagers,0,
558765885775544358,Karaoke Bot for /r/teenagers,0,
558765886354227212,Karaoke Bot for /r/teenagers,0,
558765887046418444,Karaoke Bot for /r/teenagers,0,
558765887705055244,Brostekake,5,!skip
558765890150203399,C0racle,5,!skip
558765895598735381,C0racle,5,!skip
558765901374160918,C0racle,5,!skip
558765902905081876,Brostekake,5,!skip
558765910756687892,coolkid324,6,!queue
558765912786731019,Karaoke Bot for /r/teenagers,73,Now playing in `Karaoke`: `All the Single Furries!` added by `coolkid324`
558765913139314698,Karaoke Bot for /r/teenagers,0,
558765913793363968,Karaoke Bot for /r/teenagers,0,
558765914330234882,Karaoke Bot for /r/teenagers,0,
558765914699333663,Karaoke Bot for /r/teenagers,0,
